prompt,complexity_score,feature_contributions,predicted_route,actual_quality_score,evaluation_result,latency,token_count
Write a Python function to reverse a string in place.,0.2100456621004566,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.8)"": 1.6, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,1.6544382000138285,195
Write a JavaScript snippet to check if a number is prime.,0.21917808219178084,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,1.630001399986213,194
Write a Java function to find the maximum element in an array of integers.,0.23744292237442924,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.6000000000000001)"": 1.2000000000000002, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,3.312354400026379,270
Write a C++ function to check if a string is a palindrome.,0.27397260273972607,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(1.0)"": 2.0, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,2.5351180999859935,251
Write a Python script to print all even numbers from 1 to 50.,0.15525114155251143,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.2)"": 0.4, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,1.1219917999987956,167
Write a HTML/JS function to count the number of vowels in a text input field.,0.29223744292237447,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(0.6000000000000001)"": 1.2000000000000002, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,3.549104099991382,292
Write a Go function to sum all values in a map.,0.22831050228310504,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.8)"": 1.6, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(1)"": 1.2, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 1.2, ""complexity_non_python"": 0.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,1.326408499997342,174
Write a Swift function to swap two numbers without a temporary variable.,0.1278538812785388,"{""task_count_crossover(1)"": 0.0, ""constraints(1)"": 1.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,1.2836333000159357,172
"Write a Python function `parse_csv` to parse a CSV string into a list of dictionaries, without using the CSV module.",0.31050228310502287,"{""task_count_crossover(1)"": 0.0, ""constraints(1)"": 1.0, ""multi_entity(2)"": 1.2, ""tech_depth(0.8)"": 1.6, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,1.854962199999136,213
Write a Python function to merge two sorted linked lists into a single sorted list. Include a helper Class ListNode.,0.5251141552511416,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(3)"": 2.4, ""tech_depth(0.8)"": 1.6, ""output_size_high"": 2.5, ""output_size_medium"": 0.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 2.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.9159090909090909,PASS,3.180237099993974,285
